age,industry,Education,ALERT,is_sanctioned,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP
44.0,Construction,High School or Below,1,0,1,49200.0,2,729,NJ,21,69.01,1449.21, ,14,2,0,138.6,0,2,72.46,0.0,0,1,1,65.04,1,13000,0,2,0,6,1,0
46.0,Transportation,Bachelor's Degree,1,0,0,65100.0,47,710,MA,18,0.0,0.0,late payment card replace card replace,11,0,0,0.0,0,2,60.0,60.0,1,1,1,60.0,0,14000,1,5,0,5,0,0
38.0,Information Technology,Associate Degree,1,1,2,70000.0,11,669,NY,30,176.42,5292.6, ,19,1,0,174.78,1,6,5292.6,0.0,0,1,1,49.0,1,15000,1,3,0,3,0,0
55.0,Transportation,High School or Below,1,0,1,,2,731,NY,99,0.0,0.0, ,55,12,4,0.0,7,3,60.0,60.0,1,2,1,60.0,0,17000,0,5,0,5,1,0
40.0,Entertainment and Hospitality,Bachelor's Degree,1,0,0,28900.0,56,638,RI,3,268.32,804.96,card replace plastic replace password change,1,0,0,0.0,0,3,1384.0,579.04,1,2,1,630.67,1,12000,0,0,0,8,2,0
41.0,Manufacturing,Associate Degree,1,0,0,29800.0,20,646,MA,3,23.32,69.96,  billing address billing address statement,0,0,0,0.0,0,4,69.96,0.0,0,1,1,40.8,0,6000,0,2,0,9,2,0
32.0,Construction,High School or Below,1,0,0,20500.0,23,737,PA,7,89.2,624.4, ,2,1,0,89.48,0,3,60.0,0.0,0,1,1,41.73,0,12000,0,5,0,7,0,0
27.0,Manufacturing,,1,0,1,5000.0,15,684,CT,1,198.14,198.14,change request card replace plastic replace statement,1,0,0,0.0,0,4,198.14,0.0,0,1,1,94.56,0,16000,1,4,0,6,2,0
29.0,Manufacturing,Associate Degree,1,0,1,3500.0,1,728,MA,1,106.96,106.96,statement customer call card replace statement,1,0,0,0.0,0,2,106.96,0.0,0,1,1,71.72,0,8000,1,3,0,4,1,0
47.0,Financial Services,Bachelor's Degree,1,0,2,109900.0,3,680,PA,36,54.35,1956.6,customer call customer call card replace,20,4,2,207.98,0,3,271.11,0.0,0,1,1,38.2,3,14000,0,7,0,9,1,0
51.0,Entertainment and Hospitality,High School or Below,1,0,1,65100.0,14,718,CT,57,55.95,3189.15, ,23,6,3,345.3,2,2,159.46,0.0,0,1,1,47.7,2,4000,1,1,0,4,0,0
23.0,Retail,Bachelor's Degree,1,0,2,15800.0,1,672,NY,14,155.93,2183.02, ,6,2,0,316.22,0,6,3461.27,1278.25,1,1,1,1323.4,6,15000,0,2,0,10,2,0
50.0,Transportation,Bachelor's Degree,1,0,0,51600.0,5,672,MA,5,69.47,347.35, ,1,0,0,0.0,0,2,60.0,0.0,0,1,1,29.45,0,12000,1,3,0,7,1,0
35.0,Healthcare,Master's Degree,1,0,2,116900.0,2,750,MA,93,20.67,1922.31, ,52,14,1,281.81,7,4,1922.31,0.0,0,1,1,80.33,4,11000,1,5,1,9,0,0
36.0,Legal,Bachelor's Degree,1,0,0,68200.0,35,716,ME,38,624.61,23735.18,change request customer call statement atm denied,21,6,2,3766.56,2,6,1186.76,0.0,0,1,1,42.43,6,6000,0,2,0,10,1,0
39.0,Education,High School or Below,1,1,0,48000.0,42,717,NY,28,157.13,4399.64,late payment billing address statement moneyorder,15,7,1,1076.66,3,3,4399.64,0.0,0,1,1,39.49,3,6000,0,3,0,5,2,0
28.0,Manufacturing,Associate Degree,1,0,0,4900.0,5,736,MA,0,466.48,0.0,  change request card replace,0,0,0,0.0,0,4,60.0,60.0,1,1,1,60.0,0,15000,0,1,0,12,1,0
42.0,Transportation,Master's Degree,1,0,0,79100.0,44,672,NJ,3,20.47,61.41, ,2,0,0,0.0,0,3,61.41,0.0,0,1,1,42.48,0,6000,1,3,1,11,2,0
26.0,Retail,High School or Below,1,0,0,2100.0,43,757,MA,1,67.08,67.08, ,0,0,0,0.0,0,3,133.73,66.65,1,2,1,105.45,0,7000,0,1,0,2,1,0
56.0,Manufacturing,Master's Degree,1,0,0,79800.0,9,769,RI,58,58.37,3385.46,transfer password change password change withdraw limit,27,7,1,402.88,3,3,6084.9,2699.44,1,2,1,2725.09,3,19000,1,4,0,6,0,0
41.0,Scientific and Technical Services,High School or Below,1,0,1,78400.0,2,748,NJ,69,3.83,264.27,late payment change request plastic replace bitcoin,29,2,0,7.92,2,4,2930.75,2666.48,1,1,1,2702.61,4,9000,1,4,0,8,1,0
41.0,Manufacturing,Associate Degree,1,0,0,22800.0,16,773,NY,6,29.63,177.78,statement card replace  ,4,1,0,28.27,0,5,70.38,0.0,0,1,1,37.2,0,11000,1,2,0,8,1,0
31.0,Transportation,Associate Degree,1,0,1,34200.0,1,701,MA,0,327.07,0.0, ,0,0,0,0.0,0,4,60.0,60.0,1,1,1,60.0,0,14000,1,2,0,5,2,0
34.0,Legal,Master's Degree,1,0,2,127900.0,10,738,ME,8,187.18,1497.44,  late payment card replace,4,2,1,377.28,1,2,1497.44,0.0,0,1,1,66.03,2,20000,1,3,1,7,2,0
31.0,Manufacturing,Master's Degree,1,0,0,11400.0,26,741,PA,11,55.59,611.49, ,4,0,0,0.0,0,3,611.49,0.0,0,1,1,61.18,0,12000,1,2,0,9,2,0
40.0,Entertainment and Hospitality,Bachelor's Degree,1,0,2,46600.0,13,757,MA,23,118.96,2736.08, ,11,1,0,117.93,0,5,2736.08,0.0,0,1,1,72.75,1,4000,0,1,0,8,1,0
52.0,Entertainment and Hospitality,High School or Below,1,0,0,42100.0,10,770,RI,29,120.4,3491.6,late payment customer call  ,13,1,0,119.25,0,4,174.58,0.0,0,1,1,40.5,0,10000,0,1,0,4,1,0
49.0,Financial Services,Master's Degree,1,0,1,75100.0,63,707,NY,27,35.86,968.22, ,17,1,0,34.57,0,6,968.22,0.0,0,1,1,77.82,0,9000,1,5,0,5,2,0
60.0,Entertainment and Hospitality,Master's Degree,1,0,0,87200.0,14,759,NY,94,202.0,18988.0,statement     bitcoin,48,7,0,1432.13,1,2,18988.0,0.0,0,1,1,43.94,2,10000,1,2,0,10,3,0
31.0,Retail,Associate Degree,1,0,0,19400.0,46,712,ME,10,73.85,738.5, ,7,0,0,0.0,0,6,60.0,0.0,0,1,1,28.87,0,7000,0,5,0,7,1,0
32.0,Construction,High School or Below,1,1,2,31100.0,1,683,ME,60,1168.86,70131.6, ,29,7,2,8126.5,3,2,70131.6,0.0,0,1,1,35.5,2,6000,0,2,0,89,2,0
51.0,Information Technology,Bachelor's Degree,1,0,0,120900.0,43,714,MA,22,214.8,4725.6, ,9,1,0,214.27,0,3,4725.6,0.0,0,1,1,35.72,2,8000,0,0,0,9,1,0
52.0,Entertainment and Hospitality,Doctorate,1,0,0,84600.0,14,682,PA,140,70.9,9926.0,late payment card replace plastic replace overseas atm,74,13,3,919.2,4,4,9926.0,0.0,0,1,1,61.1,4,15000,0,3,0,8,0,0
32.0,Construction,High School or Below,1,1,2,31100.0,1,683,ME,60,1168.86,70131.6, ,29,7,2,8126.5,3,2,70131.6,0.0,0,1,1,35.5,2,6000,0,2,0,89,2,0
47.0,Manufacturing,Bachelor's Degree,1,0,0,43600.0,49,694,NY,2,16.0,32.0,plastic replace customer call card replace,2,0,0,0.0,0,3,60.0,28.0,1,1,1,52.5,0,9000,1,5,0,9,0,0
48.0,Transportation,Bachelor's Degree,1,0,0,38500.0,4,771,MA,14,10.42,145.88,card replace late payment change request statement,7,0,0,0.0,0,6,145.88,0.0,0,1,1,85.1,0,12000,1,2,0,6,0,0
38.0,Financial Services,Associate Degree,1,0,1,98300.0,3,715,NY,0,159.68,0.0,customer call   plastic replace,0,0,0,0.0,0,5,60.0,60.0,1,2,1,60.0,0,10000,1,1,0,7,0,0
59.0,Engineering,Master's Degree,1,0,0,137200.0,9,748,MA,100,159.46,15946.0,change request late payment billing address bitcoin,41,7,2,1095.05,1,2,15946.0,0.0,0,1,1,37.5,2,8000,0,2,0,5,0,0
53.0,Financial Services,Doctorate,1,0,0,134300.0,11,671,CT,51,0.0,0.0, ,25,4,0,0.0,1,2,60.0,60.0,1,2,1,60.0,0,5000,1,1,0,5,2,0
28.0,Construction,Master's Degree,1,0,0,12500.0,14,705,MA,2,68.37,136.74, ,1,0,0,0.0,0,5,136.74,0.0,0,1,1,55.62,0,12000,0,2,0,7,2,0
50.0,Scientific and Technical Services,Doctorate,1,0,1,97400.0,13,754,NH,10,394.86,3948.6, ,2,1,1,398.0,0,3,4712.01,763.41,1,1,1,799.14,3,15000,0,2,0,8,2,0
53.0,Transportation,Bachelor's Degree,1,0,1,73700.0,6,728,NJ,63,169.03,10648.89,plastic replace late payment billing address,30,3,2,509.47,1,4,10648.89,0.0,0,1,1,60.25,4,14000,0,3,0,9,0,0
40.0,Financial Services,Master's Degree,1,0,1,181800.0,16,658,MA,23,118.16,2717.68, ,9,2,0,236.66,1,5,2717.68,0.0,0,1,1,60.07,3,15000,1,5,0,9,1,0
29.0,Construction,High School or Below,1,0,1,24300.0,1,696,CT,21,251.25,5276.25,transfer card replace   moneyorder,12,5,0,1255.0,1,5,263.81,0.0,0,1,1,36.94,5,5000,1,6,0,9,1,0
31.0,Retail,Doctorate,1,0,0,11600.0,7,734,PA,8,861.15,6889.2, ,4,1,0,862.06,0,5,6889.2,0.0,0,1,1,20.03,5,10000,1,2,0,13,0,0
32.0,Construction,Associate Degree,1,0,0,4100.0,31,652,NJ,5,45.61,228.05, ,3,1,0,45.82,1,2,228.05,0.0,0,1,1,69.31,0,15000,0,4,0,8,2,0
21.0,Retail,Associate Degree,1,0,1,19800.0,4,705,PA,16,597.41,9558.56, ,11,1,0,595.55,1,2,14855.44,5296.88,1,3,1,5351.26,2,7000,1,3,0,8,1,0
59.0,Engineering,Master's Degree,1,0,0,74000.0,5,750,RI,121,178.5,21598.5, ,64,9,2,1629.37,4,4,1079.92,0.0,0,1,1,51.98,4,9000,1,5,0,7,0,0
22.0,Construction,High School or Below,1,0,1,12600.0,9,737,ME,4,240.96,963.84, ,1,0,0,0.0,0,3,2617.25,1653.41,1,4,1,1692.52,3,18000,0,3,0,5,0,0
30.0,Education,Doctorate,1,0,2,26100.0,118,640,NY,17,0.0,0.0,plastic replace change request transfer,6,4,1,0.0,2,3,60.0,60.0,1,3,1,60.0,0,12000,0,2,1,6,1,0
45.0,Retail,Associate Degree,1,0,0,31800.0,17,728,ME,23,199.2,4581.6,change request   customer call,9,1,1,193.0,0,5,4581.6,0.0,0,1,1,88.83,2,12000,0,3,0,8,0,0
49.0,Manufacturing,High School or Below,1,0,0,43600.0,3,693,RI,3,128.98,386.94,change request late payment customer call,3,3,0,385.32,2,3,386.94,0.0,0,1,1,49.42,3,12000,1,4,0,9,3,0
48.0,Manufacturing,Bachelor's Degree,1,0,0,53000.0,34,716,ME,3,103.49,310.47,billing address plastic replace late payment,2,1,1,118.0,0,3,310.47,0.0,0,1,1,36.69,1,15000,1,3,0,4,2,0
50.0,Entertainment and Hospitality,Associate Degree,1,0,1,82400.0,11,760,CT,36,53.37,1921.32,customer call customer call password change statement,16,0,0,0.0,0,3,1921.32,0.0,0,1,1,35.74,0,19000,1,4,0,9,0,0
56.0,Engineering,Master's Degree,1,0,0,97200.0,7,629,RI,0,899.19,0.0, ,0,0,0,0.0,0,3,2708.74,2708.74,1,2,1,2708.74,3,17000,1,3,0,3,1,0
36.0,Transportation,Associate Degree,1,0,2,48700.0,14,750,PA,21,125.54,2636.34, ,15,2,0,246.36,1,3,2636.34,0.0,0,1,1,54.43,2,16000,1,0,0,8,1,0
43.0,Construction,Master's Degree,1,0,1,69000.0,7,726,PA,75,91.32,6849.0, ,36,10,1,906.52,3,3,6849.0,0.0,0,1,1,25.7,3,12000,1,1,0,5,0,0
39.0,Construction,Doctorate,1,1,0,36000.0,5,703,NY,48,341.95,16413.6,  customer call   overseas atm,24,7,0,2396.66,2,3,16413.6,0.0,0,1,1,39.87,3,9000,1,9,0,5,0,0
48.0,Transportation,Associate Degree,1,0,0,37400.0,3,731,MA,34,16.71,568.14,  change request  ,19,2,0,33.92,0,6,568.14,0.0,0,1,1,78.95,0,15000,1,1,0,4,3,0
42.0,Transportation,Bachelor's Degree,1,0,0,25200.0,44,674,PA,2,6.38,12.76, ,1,0,0,0.0,0,5,2671.58,2658.82,1,1,1,2710.71,5,11000,1,4,1,6,0,0
46.0,Healthcare,Master's Degree,1,1,1,104700.0,26,717,NJ,158,197.98,31280.84, ,91,13,1,2542.68,6,4,31280.84,0.0,0,1,1,82.18,4,17000,0,2,0,8,0,0
47.0,Legal,Master's Degree,1,0,1,87400.0,45,748,RI,3,69.83,209.49, ,3,0,0,0.0,0,4,209.49,0.0,0,1,1,33.97,0,6000,0,3,0,15,0,0
40.0,Education,Bachelor's Degree,1,0,1,27900.0,62,681,MA,32,53.84,1722.88,late payment late payment  ,15,3,0,161.22,3,5,86.14,0.0,0,1,1,38.3,1,11000,0,3,1,6,1,0
30.0,Retail,Associate Degree,1,1,2,33000.0,52,731,CT,8,2.28,18.24, ,7,0,0,0.0,0,4,60.0,41.76,1,4,1,151.59,0,11000,1,3,0,6,1,0
49.0,Legal,Bachelor's Degree,1,0,0,129100.0,1,705,CT,150,29.09,4363.5, ,78,10,3,283.52,3,6,218.18,0.0,0,1,1,43.27,6,15000,0,1,0,8,0,0
35.0,Construction,High School or Below,1,0,1,36800.0,1,704,MA,45,7.17,322.65,card replace customer call change request,25,3,0,22.8,1,3,322.65,0.0,0,1,1,36.09,0,8000,0,6,0,6,2,0
31.0,Transportation,,1,0,2,28100.0,1,695,PA,2,40.98,81.96, ,1,0,0,0.0,0,4,81.96,0.0,0,1,1,27.71,0,9000,1,2,0,8,2,0
24.0,Entertainment and Hospitality,Associate Degree,1,1,2,17300.0,51,705,NY,1,1.21,1.21,billing address plastic replace change request,1,0,0,0.0,0,4,60.0,58.79,1,2,1,97.88,0,10000,0,2,0,6,1,0
58.0,Information Technology,,1,0,0,114200.0,8,745,NY,15,168.2,2523.0, ,7,1,0,169.83,0,7,2523.0,0.0,0,1,1,63.81,2,10000,1,1,0,6,1,0
23.0,Entertainment and Hospitality,Bachelor's Degree,1,0,2,11500.0,18,750,NJ,2,192.7,385.4, ,0,0,0,0.0,0,3,385.4,0.0,0,1,1,56.4,0,13000,1,2,0,6,0,0
28.0,Construction,High School or Below,1,0,0,14100.0,6,672,RI,10,353.89,3538.9,change request card replace card replace statement,5,0,0,0.0,0,2,176.94,0.0,0,1,1,65.32,0,20000,1,4,0,88,1,0
41.0,Construction,Master's Degree,1,0,1,68200.0,1,700,NJ,20,0.0,0.0,statement change request  ,7,2,1,0.0,1,5,60.0,60.0,1,1,1,60.0,0,13000,1,4,0,7,1,0
26.0,Entertainment and Hospitality,High School or Below,1,0,0,8000.0,10,671,ME,0,68.11,0.0,statement transfer statement,0,0,0,0.0,0,3,60.0,60.0,1,1,1,60.0,0,14000,0,4,0,9,2,0
45.0,Scientific and Technical Services,Associate Degree,1,0,1,53400.0,22,736,NY,6,9.03,54.18, ,3,0,0,0.0,0,2,60.0,5.82,1,1,1,73.91,0,10000,0,2,0,7,0,0
45.0,Financial Services,Bachelor's Degree,1,1,2,101500.0,1,706,MA,61,182.25,11117.25, ,24,4,0,719.48,1,4,11117.25,0.0,0,1,1,44.83,4,13000,1,1,0,10,1,0
24.0,Manufacturing,Associate Degree,1,0,0,14000.0,9,721,MA,14,719.37,10071.18, ,6,1,0,719.4,0,6,503.56,0.0,0,1,1,42.35,6,12000,0,4,0,12,1,0
41.0,Manufacturing,Bachelor's Degree,1,0,2,79300.0,16,759,CT,49,44.55,2182.95, ,26,3,3,129.0,2,3,2182.95,0.0,0,1,1,41.54,0,14000,0,2,0,4,2,0
28.0,Retail,Associate Degree,1,0,0,18900.0,28,650,MA,9,263.19,2368.71, ,4,0,0,0.0,0,3,2368.71,0.0,0,1,1,36.62,0,8000,0,2,1,8,2,0
56.0,Information Technology,Bachelor's Degree,1,0,0,132900.0,52,700,RI,133,62.01,8247.33, ,66,19,2,1187.37,10,7,412.37,0.0,0,1,1,36.82,7,13000,0,5,0,4,1,0
31.0,Transportation,,1,0,2,28100.0,1,695,PA,2,40.98,81.96, ,1,0,0,0.0,0,4,81.96,0.0,0,1,1,27.71,0,9000,1,2,0,8,2,0
49.0,Scientific and Technical Services,Doctorate,1,0,1,47500.0,70,717,NY,18,12.18,219.24,late payment statement customer call,10,2,0,24.32,2,3,219.24,0.0,0,1,1,39.27,1,13000,1,1,0,8,0,0
43.0,Information Technology,Bachelor's Degree,1,0,0,66500.0,7,734,MA,89,117.42,10450.38,plastic replace customer call billing address,45,4,0,468.88,1,3,10450.38,0.0,0,1,1,49.2,3,14000,1,3,0,5,1,0
48.0,Financial Services,Master's Degree,1,0,1,109400.0,9,682,CT,45,94.94,4272.3,statement late payment plastic replace,22,4,1,384.62,3,3,2401.28,0.0,0,1,1,49.79,3,13000,1,1,0,10,2,0
36.0,Education,Associate Degree,1,0,0,30700.0,9,727,PA,12,50.68,608.16,  transfer password change,8,4,0,201.0,1,2,608.16,0.0,0,1,1,21.93,2,12000,1,5,0,7,1,0
21.0,Retail,High School or Below,1,0,1,18400.0,13,716,RI,23,73.42,1688.66, ,11,3,0,221.76,1,4,84.43,0.0,0,1,1,29.07,3,7000,0,5,0,8,1,0
41.0,Financial Services,Master's Degree,1,0,2,84700.0,35,745,NJ,11,0.0,0.0, ,6,2,0,0.0,2,7,2693.82,2693.82,1,1,1,2693.82,7,13000,1,2,0,5,0,0
48.0,Scientific and Technical Services,Bachelor's Degree,1,0,0,78700.0,3,736,NY,13,22.03,286.39, ,8,0,0,0.0,0,3,286.39,0.0,0,1,1,58.65,0,12000,1,2,0,7,0,0
39.0,Construction,Bachelor's Degree,1,1,2,57200.0,8,715,PA,50,387.63,19381.5,password change plastic replace transfer moneyorder,25,4,0,1541.32,2,3,18576.2,0.0,0,1,1,36.99,3,7000,1,1,0,8,1,0
49.0,Financial Services,Master's Degree,1,0,1,75100.0,63,707,NY,27,35.86,968.22, ,17,1,0,34.57,0,6,968.22,0.0,0,1,1,77.82,0,9000,1,5,0,5,2,0
32.0,Education,High School or Below,1,0,0,15300.0,33,793,NY,4,20.6,82.4,  plastic replace  ,2,1,0,20.26,1,2,82.4,0.0,0,1,1,35.52,0,12000,1,4,0,6,1,0
25.0,Retail,High School or Below,1,0,0,19500.0,13,718,NY,1,45.53,45.53,card replace statement billing address,0,0,0,0.0,0,2,68.26,22.73,1,1,1,85.3,0,8000,1,4,1,6,2,0
37.0,Construction,Bachelor's Degree,1,0,2,51000.0,33,780,MA,10,112.56,1125.6,late payment transfer   statement,7,0,0,0.0,0,3,60.0,0.0,0,1,1,50.03,0,14000,1,0,0,7,1,0
43.0,Financial Services,Bachelor's Degree,1,0,0,63500.0,2,742,RI,8,159.45,1275.6,plastic replace password change card replace statement,3,0,0,0.0,0,3,63.78,0.0,0,1,1,51.93,0,16000,1,4,0,7,1,0
50.0,Entertainment and Hospitality,Bachelor's Degree,1,0,1,81900.0,14,735,MA,30,559.48,16784.4,password change plastic replace customer call,12,1,0,562.87,1,2,16784.4,0.0,0,1,1,48.71,2,12000,1,3,0,7,1,0
23.0,Retail,Associate Degree,1,0,0,2200.0,8,783,MA,1,115.93,115.93,transfer billing address plastic replace statement,0,0,0,0.0,0,3,115.93,0.0,0,1,1,52.07,0,16000,1,2,0,5,0,0
49.0,Education,Doctorate,1,0,0,38300.0,3,690,PA,17,37.8,642.6, ,9,3,0,114.21,3,3,642.6,0.0,0,1,1,38.02,2,14000,0,3,0,7,3,0
38.0,Retail,High School or Below,1,0,1,22600.0,10,725,PA,5,56.21,281.05,transfer late payment password change,3,1,1,52.0,1,2,281.05,0.0,0,1,1,60.57,0,10000,1,3,0,5,1,0
36.0,Construction,High School or Below,1,0,0,41000.0,5,787,NY,68,53.18,3616.24,  change request  ,36,4,0,212.36,2,2,3616.24,0.0,0,1,1,31.56,0,11000,0,6,0,8,1,0
27.0,Entertainment and Hospitality,High School or Below,1,0,1,0.0,1,781,PA,0,34.3,0.0,change request password change change request,0,0,0,0.0,0,5,60.0,60.0,1,1,1,60.0,0,10000,1,1,0,8,1,0
49.0,Scientific and Technical Services,High School or Below,1,1,0,33000.0,1,800,MA,0,15.41,0.0,customer call billing address transfer,0,0,0,0.0,0,3,60.0,60.0,1,2,1,60.0,0,22000,0,1,0,5,2,0
27.0,Transportation,Associate Degree,1,0,1,15700.0,103,770,CT,5,71.23,356.15, ,4,1,0,71.57,1,2,356.15,0.0,0,1,1,50.64,0,8000,1,3,0,11,1,0
39.0,Information Technology,Doctorate,1,0,2,135300.0,2,675,NY,38,45.98,1747.24,change request billing address card replace,22,2,0,89.98,0,4,1747.24,0.0,0,1,1,58.36,0,12000,0,3,0,7,0,0
47.0,,Bachelor's Degree,1,0,0,50100.0,5,726,CT,31,220.5,6835.5,statement   password change overseas atm,20,6,2,1260.24,2,3,341.78,0.0,0,1,1,88.83,3,19000,1,2,0,8,0,0
53.0,Scientific and Technical Services,High School or Below,1,0,0,61900.0,20,683,NY,154,0.0,0.0,plastic replace card replace late payment,93,13,3,0.0,5,5,60.0,60.0,1,1,1,60.0,0,11000,1,6,0,3,3,0
50.0,Healthcare,Master's Degree,1,1,0,73900.0,25,702,ME,56,132.02,7393.12,"billing address statement password change lost cardrefund requested. supply additional details, call back",31,6,1,791.85,2,3,12992.8,5599.68,1,2,1,5634.49,3,10000,0,2,0,5,0,0
24.0,Scientific and Technical Services,High School or Below,1,0,0,6000.0,10,748,RI,0,0.0,0.0,billing address plastic replace transfer,0,0,0,0.0,0,3,60.0,60.0,1,1,1,60.0,0,6000,0,3,0,11,2,0
51.0,Healthcare,Doctorate,1,0,0,94100.0,43,629,ME,20,441.68,8833.6, ,12,2,1,895.74,0,3,441.68,0.0,0,1,1,86.03,3,9000,1,4,0,7,1,0
30.0,Retail,High School or Below,1,0,0,12900.0,7,704,MA,26,201.89,5249.14, ,13,1,0,202.11,0,5,5249.14,0.0,0,1,1,47.94,2,16000,1,3,0,8,2,0
28.0,Entertainment and Hospitality,Associate Degree,1,0,0,14600.0,2,702,NY,37,34.61,1280.57, ,15,2,1,60.93,2,4,2472.83,1192.26,1,2,1,1222.87,4,13000,1,4,0,6,0,0
47.0,Transportation,Bachelor's Degree,1,0,1,90500.0,4,715,MA,4,84.27,337.08, ,1,1,0,84.58,0,2,337.08,0.0,0,1,1,116.17,1,10000,1,1,0,5,1,0
51.0,Entertainment and Hospitality,High School or Below,1,0,1,65100.0,14,718,CT,57,55.95,3189.15, ,23,6,3,345.3,2,2,159.46,0.0,0,1,1,47.7,2,4000,1,1,0,4,0,0
31.0,Manufacturing,High School or Below,1,0,1,26000.0,18,760,RI,9,167.2,1504.8, ,4,1,0,169.63,0,2,75.24,0.0,0,1,1,47.63,0,12000,0,2,0,6,0,0
43.0,Financial Services,Master's Degree,1,0,1,120100.0,69,684,NJ,58,123.62,7169.96, ,31,2,0,247.5,1,2,358.5,0.0,0,1,1,44.72,2,19000,0,2,0,5,4,0
26.0,Retail,High School or Below,1,0,0,7700.0,16,668,CT,4,62.59,250.36, ,3,0,0,0.0,0,3,250.36,0.0,0,1,1,72.61,0,11000,1,4,1,5,1,0
26.0,Construction,Bachelor's Degree,1,0,0,12900.0,13,747,NH,4,1.58,6.32, ,1,0,0,0.0,0,5,2797.87,2791.55,1,1,1,2838.04,5,17000,1,1,0,7,1,0
